SUBJECT 3029919ea6b7a70360dba90f6b1e18e7eba8a260 — 239 tracked inputs verified against that revision
RUNNER  supplied-echo-mutants.py sha256 06c803bd306be464020d5533e0ce723ea9e881c7234639bb99608c2de4c4c908
RUNNER  mutation_harness.py sha256 fdf431e8587ad0c1c5cf809ac6962cb0189c947c2a7c31e2d5c15a8a74c28ae9
DIST BUILT CLEAN: 56 compiler outputs, every one with a source under src/
BASELINE test/conformance-supplied-echo.test.mjs: tests=147 pass=147 fail=0 -> OK
BASELINE test/conformance-manifest.test.mjs: tests=7 pass=7 fail=0 -> OK
S1-effort-gate-reverted: KILLED (tests=2 fail=2)
S2-parallel-tool-calls-hard-true: KILLED (tests=2 fail=1)
S3-responses-service-tier-constant: KILLED (tests=2 fail=1)
S4-chat-service-tier-constant: KILLED (tests=2 fail=1)
S5-store-hard-true: KILLED (tests=4 fail=2)
S6-metadata-emptied: KILLED (tests=2 fail=2)
S7-top-logprobs-echo-constant: KILLED (tests=2 fail=1)
S8-chat-fanout-collapsed: KILLED (tests=2 fail=2)
S9-declaration-emptied: KILLED (tests=147 fail=10)
S10-value-divergence-stale: KILLED (tests=2 fail=1)
S11-fixture-tampered: KILLED (tests=1 fail=1)
S12-second-choice-null: KILLED (tests=2 fail=1)
S13-false-value-divergence: KILLED (tests=3 fail=1)
S14-replay-row-deleted: KILLED (tests=145 fail=2)
S15-wire-names-no-capture: KILLED (tests=1 fail=1)
S16-second-choice-emptied: KILLED (tests=2 fail=1)
S17-declared-absence-answered-empty: KILLED (tests=2 fail=1)
S18-divergence-tuple-coerced: KILLED (tests=1 fail=1)
S19-false-divergence-alone: KILLED (tests=1 fail=1)
S20-wire-capture-loses-its-replay: KILLED (tests=1 fail=1)
S21-second-choice-message-emptied: KILLED (tests=2 fail=1)
S22-our-turn-gains-a-reasoning-item: KILLED (tests=2 fail=1)
S23-driver-reads-off-its-roster: KILLED (tests=1 fail=1)
S24-driver-replays-another-rows-request: KILLED (tests=1 fail=1)
S25-row-answer-not-supplied: KILLED (tests=4 fail=4)
S26-messages-publishes-an-unmeasured-thinking-count: KILLED (tests=4 fail=2)
S27-echo-asked-of-the-row-not-the-option: KILLED (tests=1 fail=1)
S29-echo-map-may-omit-an-option: KILLED (tests=1 fail=1)
S28-unbound-answer-is-skipped: KILLED (tests=1 fail=1)
S30-echo-reader-matches-exactly-again: KILLED (tests=1 fail=1)
S31-declared-ancestor-credits-what-we-report: KILLED (tests=1 fail=1)
S32-declared-absent-root-may-be-reported: KILLED (tests=1 fail=1)
